Unnamed: 0,ID,MeterId,Time,Phase1_W,Phase1_I,Phase1_V_RY,Phase1_pf,Phase2_W,Phase2_I,Phase2_V_YB,Phase2_pf,Phase3_W,Phase3_I,Phase3_V_BR,Phase3_pf,W,VA,PF,KWh_Im,KWh_Ex,KVAh,Lh
63,200,2,2024-10-11 15:06:31,-49190.979,221.692,428.494,-0.891,-44125.343,202.058,430.897,-0.882,-46454.347,216.796,433.808,-0.855,-139770.671,159081.109,-0.877,0.17,12388.551,14101.87,0
64,200,3,2024-10-11 15:06:33,0.0,0.0,0.058,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.077,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
65,200,5,2024-10-11 15:06:36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
66,200,6,2024-10-11 15:06:39,0.0,0.0,0.063,1.0,0.0,0.0,0.077,1.0,0.0,0.0,0.125,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
67,200,1,2024-10-11 15:07:41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
68,200,2,2024-10-11 15:07:44,-49123.241,222.739,427.469,-0.888,-44525.839,203.645,428.759,-0.887,-45858.851,214.545,432.476,-0.857,-139494.952,158806.391,-0.877,0.17,12391.38,14105.09,0
69,200,3,2024-10-11 15:07:47,0.0,0.0,0.058,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.066,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
70,200,5,2024-10-11 15:07:49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
71,200,6,2024-10-11 15:07:52,0.0,0.0,0.063,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.099,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
72,200,1,2024-10-11 15:08:54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
73,200,2,2024-10-11 15:08:57,-48910.714,223.136,428.014,-0.881,-45125.3,205.592,427.685,-0.891,-45047.456,210.977,432.227,-0.859,-139151.702,158448.281,-0.877,0.17,12394.22,14108.311,0
74,200,3,2024-10-11 15:09:00,0.0,0.0,0.058,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.073,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
75,200,5,2024-10-11 15:09:02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
76,200,6,2024-10-11 15:09:05,0.0,0.0,0.063,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.099,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
77,200,1,2024-10-11 15:10:08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
78,200,2,2024-10-11 15:10:10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
79,200,3,2024-10-11 15:10:13,0.0,0.0,0.058,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.086,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
80,200,5,2024-10-11 15:10:15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
81,200,6,2024-10-11 15:10:18,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.063,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
82,200,1,2024-10-11 15:11:21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
83,200,2,2024-10-11 15:11:23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
84,200,3,2024-10-11 15:11:26,0.0,0.0,0.066,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.094,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
85,200,5,2024-10-11 15:11:29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
86,200,6,2024-10-11 15:11:31,0.0,0.0,0.063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
