Standardized_Date,STANDARDIZED_TIME,RAW WATER FLOW IN ML,CLEAR WATER SUMP LEVEL IN Meter,CLEAR WATER PUMPING FLOW ML,TREATED WATER PRODUCTION IN ML,REMARKS,remarks category
2021-12-02,06:00:00,3.54223,3.7,2.7433400000000003,3.42817,No remarks,No remarks
2021-12-02,07:00:00,2.4453400000000003,4.0,2.74514,2.3666,No remarks,No remarks
2021-12-02,08:00:00,2.4512199999999997,3.49,2.78223,2.37229,No remarks,No remarks
2021-12-02,09:00:00,2.44935,2.65,2.76081,2.37048,No remarks,No remarks
2021-12-02,10:00:00,2.4472199999999997,2.4,2.74419,2.36842,No remarks,No remarks
2021-12-02,11:00:00,3.54862,2.2,2.76081,3.43435,No remarks,No remarks
2021-12-02,12:00:00,3.5507600000000004,2.4,2.75306,3.43643,No remarks,No remarks
2021-12-02,13:00:00,3.54436,2.5,2.76303,3.43023,No remarks,No remarks
2021-12-02,14:00:00,3.54756,2.62,2.79183,3.43333,No remarks,No remarks
2021-12-02,15:00:00,3.50914,2.84,2.79183,3.39615,No remarks,No remarks
2021-12-02,16:00:00,3.5262100000000003,2.96,2.80402,3.4126700000000003,No remarks,No remarks
2021-12-02,17:00:00,3.51661,3.11,2.8062300000000002,3.4033800000000003,No remarks,No remarks
2021-12-02,18:00:00,3.53155,3.46,2.79183,3.41783,No remarks,No remarks
2021-12-02,19:00:00,2.46109,3.24,2.8007,2.3818400000000004,No remarks,No remarks
2021-12-02,20:00:00,2.4707,2.97,2.79516,2.39114,No remarks,No remarks
2021-12-02,21:00:00,2.47283,3.16,1.8867,2.3931999999999998,No remarks,No remarks
2021-12-02,22:00:00,2.46856,3.45,1.8867,2.3890700000000002,No remarks,No remarks
2021-12-02,23:00:00,2.48137,3.71,1.8911300000000002,2.4014699999999998,No remarks,No remarks
2021-12-03,00:00:00,1.21881,2.31,0.9295,1.17956,No remarks,No remarks
2021-12-03,01:00:00,0.0,2.92,1.85236,0.0,No remarks,No remarks
2021-12-03,02:00:00,2.56248,1.68,1.8290899999999999,2.47997,No remarks,No remarks
2021-12-03,03:00:00,2.30741,1.98,1.81691,2.2331100000000004,No remarks,No remarks
2021-12-03,04:00:00,2.31381,2.16,1.83796,2.23931,No remarks,No remarks
2021-12-03,05:00:00,2.30954,2.35,1.86565,2.23517,No remarks,No remarks
2021-12-03,06:00:00,2.31381,2.46,1.84793,2.23931,No remarks,No remarks
2021-12-03,07:00:00,2.32875,2.08,1.84793,2.25376,No remarks,No remarks
2021-12-03,08:00:00,2.3255500000000002,2.28,1.8423900000000002,2.25067,No remarks,No remarks
2021-12-03,09:00:00,2.3212800000000002,2.36,1.86455,2.2465300000000004,No remarks,No remarks
2021-12-03,10:00:00,2.3212800000000002,2.38,1.84128,2.2465300000000004,No remarks,No remarks
2021-12-03,11:00:00,2.3170100000000002,2.41,1.84793,2.2424,No remarks,No remarks
2021-12-03,12:00:00,2.32448,2.44,1.87008,2.2496300000000002,No remarks,No remarks
2021-12-03,13:00:00,2.31061,2.48,1.8501400000000001,2.2362100000000003,No remarks,No remarks
2021-12-03,14:00:00,2.31061,2.51,1.86122,2.2362100000000003,No remarks,No remarks
2021-12-03,15:00:00,0.0,2.35,1.84128,0.0,No remarks,No remarks
2021-12-03,16:00:00,2.4674899999999997,1.96,1.84903,2.38804,No remarks,No remarks
2021-12-03,17:00:00,2.4739,2.2,1.8407,2.39424,No remarks,No remarks
2021-12-03,18:00:00,2.4674899999999997,2.3,1.83796,2.38804,No remarks,No remarks
2021-12-03,19:00:00,2.4482800000000005,2.4,1.84682,2.36945,No remarks,No remarks
2021-12-03,20:00:00,2.4514899999999997,2.55,1.86122,2.3725500000000004,No remarks,No remarks
2021-12-03,21:00:00,2.46002,2.67,1.8435000000000001,2.38081,No remarks,No remarks
2021-12-03,22:00:00,1.23055,2.53,1.8579,1.19093,No remarks,No remarks
2021-12-03,23:00:00,1.2209400000000001,2.42,1.83131,1.1816300000000002,No remarks,No remarks
2021-12-04,00:00:00,1.18679,2.63,0.9162100000000001,1.14858,No remarks,No remarks
2021-12-04,01:00:00,1.2273399999999999,2.23,0.93726,1.1878199999999999,No remarks,No remarks
2021-12-04,02:00:00,1.23802,2.21,0.91178,1.1981600000000001,No remarks,No remarks
2021-12-04,03:00:00,1.2209400000000001,2.25,0.93504,1.1816300000000002,No remarks,No remarks
2021-12-04,04:00:00,1.21881,2.28,0.91178,1.17956,No remarks,No remarks
2021-12-04,05:00:00,2.4386799999999997,2.29,1.87341,2.36015,No remarks,No remarks
2021-12-04,06:00:00,2.46536,2.34,1.89003,2.38598,No remarks,No remarks
2021-12-04,07:00:00,2.4461500000000003,2.37,1.88449,2.3673800000000003,No remarks,No remarks
2021-12-04,08:00:00,2.4344099999999997,2.41,1.86233,2.35602,No remarks,No remarks
2021-12-04,09:00:00,2.4514899999999997,2.62,2.79626,2.3725500000000004,No remarks,No remarks
2021-12-04,10:00:00,3.53582,2.19,2.7386500000000003,3.42197,No remarks,No remarks
2021-12-04,11:00:00,3.5144699999999998,2.41,2.7874000000000003,3.4013000000000004,No remarks,No remarks
2021-12-04,12:00:00,2.4602,2.86,1.85457,2.38098,No remarks,No remarks
2021-12-04,13:00:00,2.4461500000000003,2.93,1.87452,2.3673800000000003,No remarks,No remarks
2021-12-04,14:00:00,2.4258699999999997,3.59,0.94723,2.34776,No remarks,No remarks
2021-12-04,15:00:00,0.0,3.72,0.96717,0.0,No remarks,No remarks
2021-12-04,16:00:00,0.0,2.95,0.95277,0.0,No remarks,No remarks
2021-12-04,17:00:00,2.45362,2.37,1.85457,2.37461,No remarks,No remarks
2021-12-04,18:00:00,2.46002,2.64,1.85236,2.38081,No remarks,No remarks
2021-12-04,19:00:00,2.46002,2.83,1.83906,2.38081,No remarks,No remarks
2021-12-04,20:00:00,2.45682,2.95,1.86344,2.37771,No remarks,No remarks
2021-12-04,21:00:00,2.4344099999999997,3.11,1.86455,2.35602,No remarks,No remarks
2021-12-04,22:00:00,2.4589600000000003,3.32,1.8889200000000002,2.3797800000000002,No remarks,No remarks
2021-12-04,23:00:00,1.19319,3.11,1.8579,1.15477,No remarks,No remarks
2021-12-05,00:00:00,2.37144,2.98,1.86676,2.29508,No remarks,No remarks
2021-12-05,01:00:00,1.18786,2.77,0.91067,1.14961,No remarks,No remarks
2021-12-05,02:00:00,1.19106,2.9,0.91178,1.1527100000000001,No remarks,No remarks
2021-12-05,03:00:00,1.17505,3.03,0.91067,1.13721,No remarks,No remarks
2021-12-05,04:00:00,1.18359,3.15,0.91067,1.14548,No remarks,No remarks
2021-12-05,05:00:00,1.19319,3.28,0.9151,1.15477,No remarks,No remarks
2021-12-05,06:00:00,1.19639,3.33,0.90402,1.15787,No remarks,No remarks
2021-12-05,07:00:00,1.1761199999999998,3.25,0.91953,1.13825,No remarks,No remarks
2021-12-05,08:00:00,1.19426,2.53,1.81358,1.1558,No remarks,No remarks
2021-12-05,09:00:00,2.3821100000000004,2.25,1.79475,2.3054099999999997,No remarks,No remarks
2021-12-05,10:00:00,2.39599,2.44,1.8224500000000001,2.3188400000000002,No remarks,No remarks
2021-12-05,11:00:00,3.4451,2.46,2.75195,3.3341700000000003,No remarks,No remarks
2021-12-05,12:00:00,3.44083,2.67,2.7486300000000004,3.33004,No remarks,No remarks
2021-12-05,13:00:00,3.44083,2.84,2.76414,3.33004,No remarks,No remarks
2021-12-05,14:00:00,3.44403,3.0,2.77743,3.33313,No remarks,No remarks
2021-12-05,15:00:00,3.43763,3.18,2.78408,3.32694,No remarks,No remarks
2021-12-05,16:00:00,3.46111,3.18,2.773,3.34966,No remarks,No remarks
2021-12-05,17:00:00,3.47498,3.26,2.75195,3.36309,No remarks,No remarks
2021-12-05,18:00:00,2.37251,3.44,2.79294,2.2961199999999997,No remarks,No remarks
2021-12-05,19:00:00,2.37358,3.08,2.77632,2.2971500000000002,No remarks,No remarks
2021-12-05,20:00:00,2.38638,2.69,2.7220400000000002,2.30954,No remarks,No remarks
2021-12-05,21:00:00,2.39065,2.35,1.8711900000000001,2.31367,No remarks,No remarks
2021-12-05,22:00:00,2.40346,2.53,1.83906,2.32607,No remarks,No remarks
2021-12-05,23:00:00,2.38318,2.77,1.8457100000000002,2.3064400000000003,No remarks,No remarks
2021-12-06,00:00:00,2.4280100000000004,3.51,1.90443,2.34983,No remarks,No remarks
2021-12-06,01:00:00,2.38425,3.23,1.86011,2.30748,No remarks,No remarks
2021-12-06,02:00:00,2.39172,3.44,1.8534700000000002,2.3147100000000003,No remarks,No remarks
2021-12-06,03:00:00,2.38745,3.67,1.8711900000000001,2.3105700000000002,No remarks,No remarks
2021-12-06,04:00:00,2.37998,3.89,1.9121800000000002,2.3033400000000004,No remarks,No remarks
2021-12-06,05:00:00,1.19319,3.75,1.8889200000000002,1.15477,No remarks,No remarks
2021-12-06,06:00:00,1.19319,3.11,1.87452,1.15477,No remarks,No remarks
2021-12-06,07:00:00,3.49206,2.14,2.7320100000000003,3.37962,No remarks,No remarks
2021-12-06,08:00:00,3.51341,2.27,2.77521,3.4002800000000004,No remarks,No remarks
2021-12-06,09:00:00,3.48352,2.49,2.76192,3.37135,No remarks,No remarks
2021-12-06,10:00:00,3.4856599999999998,2.67,2.8073400000000004,3.3734200000000003,No remarks,No remarks
2021-12-06,11:00:00,3.5176700000000003,2.8,2.81842,3.4044000000000003,No remarks,No remarks
2021-12-06,12:00:00,3.5038000000000005,2.86,2.81731,3.39098,No remarks,No remarks
2021-12-06,13:00:00,3.54115,2.9,2.7874000000000003,3.42712,No remarks,No remarks
2021-12-06,14:00:00,3.50807,3.0,2.79737,3.3951100000000003,No remarks,No remarks
2021-12-06,15:00:00,3.4845900000000003,3.05,2.80291,3.3723899999999998,No remarks,No remarks
2021-12-06,16:00:00,3.5144699999999998,3.1,2.82396,3.4013000000000004,No remarks,No remarks
2021-12-06,17:00:00,3.53155,3.25,2.8217399999999997,3.41783,No remarks,No remarks
2021-12-06,18:00:00,3.49846,3.42,2.83061,3.38581,No remarks,No remarks
2021-12-06,19:00:00,3.5262100000000003,3.65,2.8571999999999997,3.4126700000000003,No remarks,No remarks
2021-12-06,20:00:00,3.5101999999999998,3.86,2.8328200000000003,3.39717,No remarks,No remarks
2021-12-06,21:00:00,2.44081,3.92,2.8571999999999997,2.3622199999999998,No remarks,No remarks
2021-12-06,22:00:00,2.4386799999999997,3.87,2.8328200000000003,2.36015,No remarks,No remarks
2021-12-06,23:00:00,2.43548,3.77,2.8084499999999997,2.35706,No remarks,No remarks
2021-12-07,00:00:00,2.40346,3.8,1.9321300000000001,2.32607,No remarks,No remarks
2021-12-07,01:00:00,2.4301399999999997,3.62,1.90775,2.35189,No remarks,No remarks
2021-12-07,02:00:00,2.4258699999999997,3.74,1.88781,2.34776,No remarks,No remarks
2021-12-07,03:00:00,2.4226199999999998,3.85,1.92548,2.3446100000000003,No remarks,No remarks
2021-12-07,04:00:00,2.4376100000000003,3.94,2.84833,2.35912,No remarks,No remarks
2021-12-07,05:00:00,2.44081,3.78,2.84944,2.3622199999999998,No remarks,No remarks
2021-12-07,06:00:00,2.4248000000000003,3.51,2.81621,2.34672,No remarks,No remarks
2021-12-07,07:00:00,2.41413,3.21,2.77521,2.3364000000000003,No remarks,No remarks
2021-12-07,08:00:00,2.41947,2.94,1.84793,2.34156,No remarks,No remarks
2021-12-07,09:00:00,2.4386799999999997,2.63,1.8855899999999999,2.36015,No remarks,No remarks
2021-12-07,10:00:00,2.43654,2.17,2.76192,2.35808,No remarks,No remarks
2021-12-07,11:00:00,3.51554,2.3,2.76529,3.40234,No remarks,No remarks
2021-12-07,12:00:00,3.5262100000000003,2.53,2.74309,3.4126700000000003,No remarks,No remarks
2021-12-07,13:00:00,3.5187399999999998,2.63,2.78519,3.40544,No remarks,No remarks
2021-12-07,14:00:00,3.51234,2.76,2.76524,3.39924,No remarks,No remarks
2021-12-07,15:00:00,3.5144699999999998,3.4,1.8756199999999998,3.4013000000000004,No remarks,No remarks
2021-12-07,16:00:00,2.37251,4.0,1.9022100000000002,2.2961199999999997,No remarks,No remarks
2021-12-07,17:00:00,2.36856,3.98,2.828,2.29229,No remarks,No remarks
2021-12-07,18:00:00,2.38085,3.69,2.8261700000000003,2.30419,No remarks,No remarks
2021-12-07,19:00:00,2.39043,3.2,2.7707800000000002,2.31346,No remarks,No remarks
2021-12-07,20:00:00,2.40366,3.23,1.87784,2.3262600000000004,No remarks,No remarks
2021-12-07,21:00:00,2.41013,3.39,1.8807800000000001,2.33252,No remarks,No remarks
2021-12-07,22:00:00,2.39887,3.56,1.8816700000000002,2.3216300000000003,No remarks,No remarks
2021-12-07,23:00:00,2.40709,3.64,1.93102,2.32958,No remarks,No remarks
2021-12-08,00:00:00,2.38105,2.1,1.84128,2.30438,No remarks,No remarks
2021-12-08,01:00:00,1.2156,3.74,1.94764,1.17646,No remarks,No remarks
2021-12-08,02:00:00,1.2027999999999999,3.25,1.90554,1.16407,No remarks,No remarks
2021-12-08,03:00:00,1.2995999999999999,2.72,1.90332,1.25775,No remarks,No remarks
2021-12-08,04:00:00,1.17932,2.2,1.85568,1.1413499999999999,No remarks,No remarks
2021-12-08,05:00:00,2.40346,1.72,1.84903,2.32607,No remarks,No remarks
2021-12-08,06:00:00,2.38246,1.71,1.84739,2.3057399999999997,No remarks,No remarks
2021-12-08,07:00:00,2.38532,2.01,1.86412,2.30851,No remarks,No remarks
2021-12-08,08:00:00,2.38318,2.19,1.85901,2.3064400000000003,No remarks,No remarks
2021-12-08,09:00:00,3.45044,1.98,2.75084,3.3393400000000004,No remarks,No remarks
2021-12-08,10:00:00,3.4442399999999997,2.19,2.7574899999999998,3.33334,No remarks,No remarks
2021-12-08,11:00:00,3.45364,2.31,2.7541599999999997,3.34243,No remarks,No remarks
2021-12-08,12:00:00,3.45471,2.45,2.74752,3.34347,No remarks,No remarks
2021-12-08,13:00:00,3.47498,2.48,2.74973,3.36309,No remarks,No remarks
2021-12-08,14:00:00,3.47072,2.53,2.773,3.35896,No remarks,No remarks
2021-12-08,15:00:00,3.46218,2.66,2.80513,3.3507,No remarks,No remarks
2021-12-08,16:00:00,3.42802,2.62,2.74198,3.31764,No remarks,No remarks
2021-12-08,17:00:00,3.45471,2.65,2.74641,3.34347,No remarks,No remarks
2021-12-08,18:00:00,3.46218,2.96,2.79181,3.3507,No remarks,No remarks
2021-12-08,19:00:00,2.37358,3.0,2.77854,2.2971500000000002,No remarks,No remarks
2021-12-08,20:00:00,2.39599,2.61,2.76192,2.3188400000000002,No remarks,No remarks
2021-12-08,21:00:00,2.38958,2.21,2.7486300000000004,2.31264,No remarks,No remarks
2021-12-08,22:00:00,2.37358,1.78,2.74198,2.2971500000000002,No remarks,No remarks
2021-12-08,23:00:00,2.37785,1.88,1.8324200000000002,2.30128,No remarks,No remarks
2021-12-09,00:00:00,2.4333400000000003,2.57,2.6943400000000004,2.35499,No remarks,No remarks
2021-12-09,01:00:00,2.37251,2.34,1.84128,2.2961199999999997,No remarks,No remarks
2021-12-09,02:00:00,2.37144,2.59,1.8723,2.29508,No remarks,No remarks
2021-12-09,03:00:00,2.36077,2.84,1.8756199999999998,2.28475,No remarks,No remarks
2021-12-09,04:00:00,2.38532,3.08,1.9066400000000001,2.30851,No remarks,No remarks
2021-12-09,05:00:00,2.37144,3.89,0.9461200000000001,2.29508,No remarks,No remarks
2021-12-09,06:00:00,0.0,3.38,0.9483400000000001,0.0,No remarks,No remarks
2021-12-09,07:00:00,2.4290700000000003,3.07,2.76303,2.35085,No remarks,No remarks
2021-12-09,08:00:00,2.42574,2.51,2.70239,2.34763,No remarks,No remarks
2021-12-09,09:00:00,3.50914,2.56,2.70431,3.39615,No remarks,No remarks
2021-12-09,10:00:00,3.48245,2.61,2.7397600000000004,3.3703200000000004,No remarks,No remarks
2021-12-09,11:00:00,3.5006,2.65,2.71871,3.38788,No remarks,No remarks
2021-12-09,12:00:00,3.49419,2.71,2.71871,3.38168,No remarks,No remarks
2021-12-09,13:00:00,3.5059299999999998,2.76,2.74641,3.39304,No remarks,No remarks
2021-12-09,14:00:00,3.5059299999999998,2.83,2.76081,3.39304,No remarks,No remarks
2021-12-09,15:00:00,3.5176700000000003,2.96,2.77521,3.4044000000000003,No remarks,No remarks
2021-12-09,16:00:00,3.5059299999999998,3.06,2.7586,3.39304,No remarks,No remarks
2021-12-09,17:00:00,3.4845900000000003,3.21,2.75638,3.3723899999999998,No remarks,No remarks
2021-12-09,18:00:00,3.48352,3.48,2.7707800000000002,3.37135,No remarks,No remarks
2021-12-09,19:00:00,2.39279,3.74,2.7707800000000002,2.31574,No remarks,No remarks
2021-12-09,20:00:00,2.41947,3.26,2.75306,2.34156,No remarks,No remarks
2021-12-09,21:00:00,2.44081,3.12,2.74419,2.3622199999999998,No remarks,No remarks
2021-12-09,22:00:00,2.4514899999999997,2.98,2.70985,2.3725500000000004,No remarks,No remarks
2021-12-09,23:00:00,2.42694,2.76,2.69766,2.34879,No remarks,No remarks
2021-12-10,00:00:00,1.2070699999999999,3.79,1.89003,1.1682000000000001,No remarks,No remarks
2021-12-10,01:00:00,2.4184,2.31,2.65335,2.34053,No remarks,No remarks
2021-12-10,02:00:00,2.4258699999999997,2.21,1.81358,2.34776,No remarks,No remarks
2021-12-10,03:00:00,2.43121,2.23,1.81248,2.3529299999999997,No remarks,No remarks
2021-12-10,04:00:00,2.4333400000000003,2.26,1.8346300000000002,2.35499,No remarks,No remarks
2021-12-10,05:00:00,2.4461500000000003,2.31,2.75527,2.3673800000000003,No remarks,No remarks
2021-12-10,06:00:00,2.4429499999999997,2.23,2.73644,2.36429,No remarks,No remarks
2021-12-10,07:00:00,3.4888600000000003,2.26,2.7176,3.37652,No remarks,No remarks
2021-12-10,08:00:00,3.50914,2.31,2.73533,3.39615,No remarks,No remarks
2021-12-10,09:00:00,3.51661,2.67,2.73755,3.4033800000000003,No remarks,No remarks
2021-12-10,10:00:00,3.5059299999999998,2.84,2.7674600000000003,3.39304,No remarks,No remarks
2021-12-10,11:00:00,3.5176700000000003,2.98,2.76192,3.4044000000000003,No remarks,No remarks
2021-12-10,12:00:00,3.5206399999999998,3.11,2.7807500000000003,3.40728,No remarks,No remarks
2021-12-10,13:00:00,3.5144699999999998,3.28,2.79072,3.4013000000000004,No remarks,No remarks
2021-12-10,14:00:00,3.5262100000000003,3.53,2.83725,3.4126700000000003,No remarks,No remarks
2021-12-10,15:00:00,3.52514,3.78,2.78408,3.41163,No remarks,No remarks
2021-12-10,16:00:00,2.41306,3.83,2.8151,2.33536,No remarks,No remarks
2021-12-10,17:00:00,2.412,3.58,2.83393,2.33433,No remarks,No remarks
2021-12-10,18:00:00,2.40773,3.36,2.77189,2.3302,No remarks,No remarks
2021-12-10,19:00:00,2.40733,3.12,1.84903,2.32981,No remarks,No remarks
2021-12-10,20:00:00,2.41942,3.32,1.86036,2.3415100000000004,No remarks,No remarks
2021-12-10,21:00:00,2.41306,3.56,1.87784,2.33536,No remarks,No remarks
2021-12-10,22:00:00,2.41627,3.79,1.86676,2.33847,No remarks,No remarks
2021-12-10,23:00:00,2.39812,3.94,1.87452,2.3209,No remarks,No remarks
2021-12-11,00:00:00,2.4045300000000003,2.17,1.8302,2.3271,No remarks,No remarks
2021-12-11,01:00:00,1.18999,3.29,1.8711900000000001,1.1516700000000002,No remarks,No remarks
2021-12-11,02:00:00,1.19639,2.79,1.83906,1.15787,No remarks,No remarks
2021-12-11,03:00:00,1.18679,2.3,1.8191199999999998,1.14858,No remarks,No remarks
2021-12-11,04:00:00,1.1921199999999998,1.77,1.8257700000000001,1.1537300000000001,No remarks,No remarks
2021-12-11,05:00:00,2.39919,1.92,1.82799,2.32194,No remarks,No remarks
2021-12-11,06:00:00,2.41627,2.06,1.82023,2.33847,No remarks,No remarks
2021-12-11,07:00:00,2.40773,2.15,1.8324200000000002,2.3302,No remarks,No remarks
2021-12-11,08:00:00,3.29142,2.24,2.7397600000000004,3.1854400000000003,No remarks,No remarks
2021-12-11,09:00:00,3.2882100000000003,2.35,2.74752,3.18233,No remarks,No remarks
2021-12-11,10:00:00,3.28395,2.4,2.7176,3.17821,No remarks,No remarks
2021-12-11,11:00:00,3.30209,2.46,2.74419,3.1957600000000004,No remarks,No remarks
2021-12-11,12:00:00,3.29462,2.48,2.76414,3.18853,No remarks,No remarks
2021-12-11,13:00:00,3.29675,2.43,2.7707800000000002,3.1905900000000003,No remarks,No remarks
2021-12-11,14:00:00,3.28928,2.48,2.74198,3.18337,No remarks,No remarks
2021-12-11,15:00:00,3.28501,2.51,2.76303,3.17923,No remarks,No remarks
2021-12-11,16:00:00,3.28928,2.45,2.74087,3.18337,No remarks,No remarks
2021-12-11,17:00:00,3.30316,2.37,2.7597,3.1968,No remarks,No remarks
2021-12-11,18:00:00,3.28715,2.43,2.7685700000000004,3.1813000000000002,No remarks,No remarks
2021-12-11,19:00:00,3.29142,2.67,2.7586,3.1854400000000003,No remarks,No remarks
2021-12-11,20:00:00,3.28608,2.91,2.79072,3.18027,No remarks,No remarks
2021-12-11,21:00:00,3.28395,3.15,1.88449,3.17821,No remarks,No remarks
2021-12-11,22:00:00,0.0,2.95,1.8789500000000001,0.0,No remarks,No remarks
2021-12-11,23:00:00,0.0,2.42,1.8224500000000001,0.0,No remarks,No remarks
2021-12-12,00:00:00,2.41627,3.43,1.8922400000000001,2.33847,No remarks,No remarks
2021-12-12,01:00:00,2.4173299999999998,2.21,1.83796,2.3394899999999996,No remarks,No remarks
2021-12-12,02:00:00,2.40666,2.28,1.87341,2.32917,No remarks,No remarks
2021-12-12,03:00:00,2.40239,2.35,1.8534700000000002,2.3250300000000004,No remarks,No remarks
2021-12-12,04:00:00,2.41093,2.43,1.87784,2.3333000000000004,No remarks,No remarks
2021-12-12,05:00:00,2.40666,2.37,2.8084499999999997,2.32917,No remarks,No remarks
2021-12-12,06:00:00,3.4760500000000003,2.28,2.7462600000000004,3.3641199999999998,No remarks,No remarks
2021-12-12,07:00:00,3.45684,2.41,2.7940500000000004,3.34553,No remarks,No remarks
2021-12-12,08:00:00,3.46218,2.51,2.8084499999999997,3.3507,No remarks,No remarks
2021-12-12,09:00:00,3.45684,2.66,2.78629,3.34553,No remarks,No remarks
2021-12-12,10:00:00,3.46111,2.79,2.8272800000000005,3.34966,No remarks,No remarks
2021-12-12,11:00:00,3.46218,2.92,2.8272800000000005,3.3507,No remarks,No remarks
2021-12-12,12:00:00,3.45364,3.03,2.83615,3.34243,No remarks,No remarks
2021-12-12,13:00:00,3.48245,2.95,2.81177,3.3703200000000004,No remarks,No remarks
2021-12-12,14:00:00,3.46324,2.98,2.8549800000000003,3.35172,No remarks,No remarks
2021-12-12,15:00:00,3.44297,3.13,2.82507,3.33211,No remarks,No remarks
2021-12-12,16:00:00,3.45684,3.4,2.8195300000000003,3.34553,No remarks,No remarks
2021-12-12,17:00:00,3.46111,3.66,2.8450100000000003,3.34966,No remarks,No remarks
2021-12-12,18:00:00,3.4888600000000003,3.62,2.84612,3.37652,No remarks,No remarks
2021-12-12,19:00:00,2.40986,3.37,2.82396,2.33226,No remarks,No remarks
2021-12-12,20:00:00,2.4184,2.92,2.8089299999999997,2.34053,No remarks,No remarks
2021-12-12,21:00:00,2.41306,2.8,1.88781,2.33536,No remarks,No remarks
2021-12-12,22:00:00,2.4184,3.02,1.89778,2.34053,No remarks,No remarks
2021-12-12,23:00:00,2.4301399999999997,3.28,1.8933499999999999,2.35189,No remarks,No remarks
2021-12-13,00:00:00,2.3554299999999997,1.85,1.76705,2.2795900000000002,No remarks,No remarks
2021-12-13,01:00:00,2.39279,3.61,1.89667,2.31574,No remarks,No remarks
2021-12-13,02:00:00,2.40239,3.85,1.92437,2.3250300000000004,No remarks,No remarks
2021-12-13,03:00:00,1.2241400000000002,3.68,1.9454200000000001,1.18472,No remarks,No remarks
2021-12-13,04:00:00,1.22841,3.19,1.9144,1.18886,No remarks,No remarks
2021-12-13,05:00:00,1.2241400000000002,2.68,1.8855899999999999,1.18472,No remarks,No remarks
2021-12-13,06:00:00,2.37571,2.26,1.86011,2.29921,No remarks,No remarks
2021-12-13,07:00:00,2.39204,2.26,1.89234,2.31502,No remarks,No remarks
2021-12-13,08:00:00,3.47072,2.14,2.74641,3.35896,No remarks,No remarks
2021-12-13,09:00:00,3.4515000000000002,2.35,2.80402,3.34036,No remarks,No remarks
2021-12-13,10:00:00,3.45791,2.52,2.78408,3.3465700000000003,No remarks,No remarks
2021-12-13,11:00:00,3.46324,2.67,2.76192,3.35172,No remarks,No remarks
2021-12-13,12:00:00,3.47072,2.71,2.77189,3.35896,No remarks,No remarks
2021-12-13,13:00:00,3.46218,3.04,1.8756199999999998,3.3507,No remarks,No remarks
2021-12-13,14:00:00,3.46218,3.21,1.91772,3.3507,No remarks,No remarks
